ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
meta_mOTU_v2_5330	Firmicutes	1.3083517835	0.0001	0.0001	3.3963536360000006	1.0584925373	0.0001	0.0001	0.0001	1.0912746070000001	0.0001
meta_mOTU_v2_5351	Firmicutes	0.0001	0.0001	1.7008273185	0.0001	1.021240626	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5354	Firmicutes	0.0001	1.4507203599	0.0001	0.5722704436	0.0001	0.6120242213	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5364	Firmicutes	64.3825857808	46.419951516800005	29.264765763000003	53.2576174386	17.4679868338	89.9734742342	58.544733562000005	16.9801660825	35.150989790000004	17.3430318053
meta_mOTU_v2_5373	Actinobacteria	1.3701303399	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5396	Firmicutes	0.0001	0.0001	0.8431955938	0.0001	1.0494849412	0.6135464209	0.5517900698	0.0001	0.0001	0.0001
meta_mOTU_v2_5411	Firmicutes	0.0001	0.0001	0.0001	1.147102145	2.1033448715000005	1.2254687512	0.2796980286	0.0001	1.0985653059	0.0001
meta_mOTU_v2_5417	Firmicutes	0.0001	0.0001	0.0001	3.4411064351	0.0001	0.0001	0.0001	0.0001	1.0864676704	0.0001
meta_mOTU_v2_5423	Bacteroidetes	103.480320769	325.92310717789996	196.7946490848	90.3747236089	283.69662648319996	123.63532374690001	173.9751856293	57.854753650000006	236.6080424866	185.1275775157
meta_mOTU_v2_5437	Firmicutes	6.857057661699999	0.0001	0.0001	5.7218044358	0.0001	1.2285207282	1.128729113	0.0001	1.088865833	0.0001
meta_mOTU_v2_5477	Firmicutes	1.3550750613999998	4.3391990238	0.8638669393	2.3156442365000003	0.0001	1.1986684626000002	0.5487217156	0.0001	0.0001	0.0001
meta_mOTU_v2_5520	Bacteroidetes	0.0001	5.785565365	0.0001	0.0001	3.0197587084	1.6014341635	4.5436188	0.0001	6.6952708919	6.1845629764
meta_mOTU_v2_5540	Firmicutes	0.0001	0.0001	0.0001	1.1184921142	1.021240626	0.0001	2.1872881258000003	0.0001	1.0630545741	3.3782570025000003
meta_mOTU_v2_5603	Firmicutes	0.0001	0.0001	0.8360507159	3.4411064351	1.0191308313	0.6135464209	1.6815008717	0.0001	2.1633057999000003	3.0635218781000004
meta_mOTU_v2_5655	Bacteroidetes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.1134429398999999	0.0001
meta_mOTU_v2_5656	Firmicutes	1.2778485035	0.0001	0.0001	1.1578721182	0.0001	0.0001	0.0001	0.0001	0.0001	1.6278588197
meta_mOTU_v2_5669	Firmicutes	0.0001	1.3663509459	1.6748399741	0.0001	0.0001	0.3068232104	0.5338780545	0.0001	0.0001	0.0001
meta_mOTU_v2_5702	Firmicutes	0.0001	0.0001	0.0001	1.1497758097	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5710	Firmicutes	5.3903833046	1.4296968763999998	2.5122099611000004	4.5988032387999995	0.0001	5.486995304400001	4.4686021279	2.8928326825000004	2.1970306119000003	0.0001
meta_mOTU_v2_5712	Firmicutes	0.0001	0.0001	0.0001	2.2834838998	3.1482548236000003	0.6127843756	0.279381383	0.0001	2.1398436979	0.0001
meta_mOTU_v2_5734	Firmicutes	0.0001	1.4507203599	0.0001	2.4417382295000003	1.0450383948	0.5824033322	0.5605669571999999	4.2155779689	5.3610882866	0.0001
meta_mOTU_v2_5735	Firmicutes	1.3513628009999998	1.2059946757	0.0001	0.0001	1.0630545741	1.1957628421	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5754	Firmicutes	0.0001	0.0001	0.8207504532	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5779	Firmicutes	15.005194199	0.0001	8.9675713158	46.2368066705	7.4088477609000005	22.4234671633	4.921273283	8.8074378994	11.095118290899999	23.5611313232
meta_mOTU_v2_5791	Firmicutes	1.3188457817	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5806	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.2796980286	0.0001	0.0001	0.0001
meta_mOTU_v2_5811	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	2.2267858798	0.0001	0.0001	0.0001
meta_mOTU_v2_5815	Firmicutes	19.228595998699998	4.3391990238	2.4457739952	11.6134869926	2.1168850745000003	4.6420851517	0.5468970314	4.4037689497	2.4942133874000003	3.1415708431000002
meta_mOTU_v2_5826	Firmicutes	0.0001	0.0001	0.837469987	0.0001	0.0001	0.0001	0.0001	0.0001	1.088865833	0.0001
meta_mOTU_v2_5849	Firmicutes	1.3476708261	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5880	Firmicutes	0.0001	0.0001	0.4173681238	0.0001	0.0001	0.0001	0.0001	0.0001	7.1778057309	0.0001
meta_mOTU_v2_5894	Firmicutes	1.3476708261	1.3476708261	0.84608786	0.0001	0.0001	1.8313286722	0.0001	0.0001	3.2954959178	0.0001
meta_mOTU_v2_5944	Firmicutes	18.4501769631	0.0001	4.2446001925	9.0706456987	2.9300658754000004	5.1579576598	6.6353613635	2.9098989520000003	19.1332823332	15.3066458665
meta_mOTU_v2_5959	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6075026138	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5975	Actinobacteria	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.6119003999000001
meta_mOTU_v2_5978	Firmicutes	0.0001	1.4173727654	0.0001	1.139155248	0.0001	0.3068232104	0.0001	0.0001	8.5753554502	0.0001
meta_mOTU_v2_5991	Firmicutes	1.3890481124	1.3083517835	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6044	Firmicutes	0.0001	0.0001	0.0001	0.570945975	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6088	Firmicutes	7.0943170562999995	2.9013407198000003	10.8674593064	5.7619098407000005	1.0494849412	6.7229254598	1.6551702093	1.4052593230000001	3.2808821887	3.0695407964
meta_mOTU_v2_6154	Bacteroidetes	0.0001	1.4464663412999998	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6197	Firmicutes	5.72475315	4.3391990238	5.301371383799999	15.1221329971	24.5008585625	5.5104773782	9.5172233601	5.5262727996	3.3201584423000003	0.0001
meta_mOTU_v2_6233	Firmicutes	0.0001	0.0001	0.0001	1.1339182123	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6261	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	1.2224319018	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6272	Firmicutes	1.5737408944	4.2764952806	0.0001	0.0001	0.0001	0.0001	0.0001	1.454999476	0.0001	0.0001
meta_mOTU_v2_6334	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.0840800492	0.0001
meta_mOTU_v2_6348	Firmicutes	2.6952416523000005	0.0001	1.6834137282	4.4611304287	2.0381616627000003	0.0001	0.5605669571999999	0.0001	1.0840800492	1.6607428362999999
meta_mOTU_v2_6414	Firmicutes	0.0001	0.0001	0.8653823198999999	0.0001	0.0001	0.6112659509	1.1121877618	0.0001	0.0001	0.0001
meta_mOTU_v2_6416	Firmicutes	0.0001	0.0001	0.0001	1.1633333075	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6438	Firmicutes	1.3550750613999998	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
