ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
meta_mOTU_v2_5331	Firmicutes	2.7583454799000005	5.9222152951	2.6131924200000003	7.0240041872	4.3024914537	7.4853014882	4.6024296007	7.211844986799999	6.6380753857000006	3.1961622227
meta_mOTU_v2_5339	Firmicutes	0.0001	0.0001	0.0001	1.1707506979	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5354	Firmicutes	1.3717070847	69.5849547169	70.2194670699	102.77834224360001	100.3720145135	77.7007122191	90.6697486196	82.18455715580001	77.7850580697	70.5673616934
meta_mOTU_v2_5357	Firmicutes	2.7583454799000005	5.5317461547	1.7819753985	1.1817427232	3.2131625537	1.8760495655	1.7240034249	0.0001	1.14936895	0.0001
meta_mOTU_v2_5362	Firmicutes	2.7064430112	1.314407572	1.7240034249	3.5120520936000004	0.0001	1.2384266915	0.5760494279999999	0.0001	2.2881900004	1.4982541669
meta_mOTU_v2_5364	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6309017545	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5386	Proteobacteria	183.17064719869998	214.75724296869998	236.9357645202	211.8878763125	227.7195333693	221.1729773459	206.8372028704	176.67379027860002	214.92888268599998	239.3118082345
meta_mOTU_v2_5396	Firmicutes	6.8768732251	1.3213068244	11.1863177795	4.6610240748	7.4972459586	2.5044771148000002	5.0720956007	1.4849961654	5.6181781259	10.001023180399999
meta_mOTU_v2_5411	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	10.6304808712	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5417	Firmicutes	0.0001	0.0001	0.0001	1.1707506979	0.0001	0.0001	0.0001	0.0001	1.1088660795	0.0001
meta_mOTU_v2_5423	Bacteroidetes	1.3717070847	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5437	Firmicutes	9.5752592406	10.765495633299999	8.8937360438	10.5115111386	6.5987116115	6.8957136997	8.1198292476	8.8832729426	14.4458779272	4.675454180299999
meta_mOTU_v2_5517	Firmicutes	6.6762246695	4.390040117	3.4186385404000004	4.628879770799999	0.0001	0.0001	0.0001	1.4938086056	0.0001	3.5079731713
meta_mOTU_v2_5520	Bacteroidetes	4.1149212541	0.0001	2.53389094	5.9222152951	1.0274057144	2.1792333337	3.4518472005000005	4.402838776199999	3.4167049779000003	0.0001
meta_mOTU_v2_5655	Bacteroidetes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.574734475	0.0001	0.0001	0.0001
meta_mOTU_v2_5656	Firmicutes	0.0001	1.2712611112999999	0.0001	0.0001	0.0001	0.0001	1.14936895	0.0001	0.0001	0.0001
meta_mOTU_v2_5669	Firmicutes	0.0001	0.0001	6.507030550599999	0.0001	0.0001	0.0001	4.9176775563	0.0001	0.0001	0.0001
meta_mOTU_v2_5681	Firmicutes	8.2975692321	2.9438415209	5.308147101	7.040376924199999	12.93491285	8.1902594506	13.0675214468	4.5624546835	15.6260804903	4.9840584166
meta_mOTU_v2_5712	Firmicutes	1.375454645	0.0001	4.2230849	2.3305620374000005	2.1421417025	3.1266826092000004	2.2804161952000004	4.3773156529	2.183960304	3.2372691323000002
meta_mOTU_v2_5729	Firmicutes	1.3424461335	0.0001	0.0001	0.0001	0.0001	0.6246406949	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5735	Firmicutes	2.7583454799000005	0.0001	0.0001	0.0001	4.339581035199999	0.0001	6.5445827746	8.7545313057	0.0001	8.5609809537
meta_mOTU_v2_5741	Firmicutes	6.5195401109	0.0001	18.3582233743	17.703785843	12.907274360999999	8.1695283459	0.0001	12.393099688800001	8.190131321199999	0.0001
meta_mOTU_v2_5779	Firmicutes	0.0001	1.4893893493	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.3008229976	0.0001
meta_mOTU_v2_5805	Firmicutes	55.8948461891	46.5554572328	46.647766234900004	70.5889915054	58.5595458084	50.5417924103	52.2498356062	26.8868549004	42.49320000670001	41.65911793760001
meta_mOTU_v2_5806	Firmicutes	6.8768732251	10.2432936063	16.2381580671	0.0001	10.7331447778	0.0001	14.445884688699998	14.7619709701	6.726778842899999	9.5579443053
meta_mOTU_v2_5826	Firmicutes	1.3717070847	1.4806288238	0.8547346351	0.0001	1.0873133911	1.2323638925	0.0001	1.4676795921	0.0001	0.0001
meta_mOTU_v2_5907	Firmicutes	0.0001	5.904848388	0.0001	3.5039037129000006	2.1467089556000003	1.2130633737	2.1285558143000003	2.9352591841000004	1.118721778	0.0001
meta_mOTU_v2_5934	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.4806288238	0.0001	0.0001
meta_mOTU_v2_5954	Firmicutes	0.0001	8.615402201799998	4.4469180219	4.2213142563999995	0.0001	6.545227424199999	0.0001	0.0001	4.5147170411	0.0001
meta_mOTU_v2_5978	Firmicutes	4.126163935099999	10.109118320599999	0.0001	9.300419632	6.3989957636999995	4.3827599509	0.0001	7.2743745676	6.565923479299999	4.339164644899999
meta_mOTU_v2_5983	Firmicutes	0.0001	1.4806288238	0.0001	0.5520515352	0.0001	0.6162319462	1.1428464247	1.4938086056	3.3559653339	0.0001
meta_mOTU_v2_5989	Bacteroidetes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.5731618752
meta_mOTU_v2_6009	Firmicutes	5.5165909598	1.4719707605	6.919409966699999	12.7292443698	6.4262251074	1.783027273	5.189582475	6.0286005998	5.5196153517	8.417822409400001
meta_mOTU_v2_6028	Firmicutes	4.148834616	11.8095967761	8.8624204239	5.936182548099999	7.5132313445	10.277430389500001	4.415712281399999	8.7040734884	11.2613930667	11.745628668499998
meta_mOTU_v2_6088	Firmicutes	74.22558877920001	66.6238970693	54.8218452665	73.9610148806	54.6221634129	60.823667665500004	54.28682734600001	63.14329017840001	45.761900007200005	65.32936576910001
meta_mOTU_v2_6105	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.4220768363999998	0.0001	0.0001
meta_mOTU_v2_6108	Firmicutes	8.252227870199999	7.3594538023	0.0001	10.4871791683	5.178904527599999	0.0001	0.0001	7.402744118799999	6.75687584	6.9672944648
meta_mOTU_v2_6134	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6185027028	0.0001	0.0001	0.0001	0.0001
