COG0495.mOTU.v2.0004700	ref_mOTU_v2_2668
COG0495.mOTU.v2.0000278	ref_mOTU_v2_0221
COG0525.mOTU.v2.0003084	ref_mOTU_v2_4105
COG0541.mOTU.v2.0004278	ref_mOTU_v2_0537
COG0012.mOTU.v2.0005237	ref_mOTU_v2_5148
COG0541.mOTU.v2.0002704	meta_mOTU_v2_5374
COG0012.mOTU.v2.0003998	ref_mOTU_v2_4458
COG0172.mOTU.v2.0007158	ref_mOTU_v2_3425
COG0018.mOTU.v2.0001561	ref_mOTU_v2_1767
COG0552.mOTU.v2.0006691	ref_mOTU_v2_2798
COG0016.mOTU.v2.0003879	meta_mOTU_v2_5362
COG0012.mOTU.v2.0005919	ref_mOTU_v2_4808
COG0016.mOTU.v2.0007196	ref_mOTU_v2_1607
COG0012.mOTU.v2.0005619	ref_mOTU_v2_2952
COG0018.mOTU.v2.0000314	ref_mOTU_v2_0640
COG0495.mOTU.v2.0000442	ref_mOTU_v2_0341
COG0016.mOTU.v2.0006422	ref_mOTU_v2_2999
COG0016.mOTU.v2.0009304	meta_mOTU_v2_6175
COG0525.mOTU.v2.0006461	ref_mOTU_v2_2107
COG0012.mOTU.v2.0004651	ref_mOTU_v2_4338
COG0018.mOTU.v2.0005331	ref_mOTU_v2_0346
COG0172.mOTU.v2.0004048	ref_mOTU_v2_4416
COG0172.mOTU.v2.0002722	meta_mOTU_v2_7252
COG0215.mOTU.v2.0000162	ref_mOTU_v2_0057
COG0215.mOTU.v2.0004260	ref_mOTU_v2_4149
COG0172.mOTU.v2.0000075	ref_mOTU_v2_1174
COG0012.mOTU.v2.0004462	ref_mOTU_v2_3856
COG0018.mOTU.v2.0000798	ref_mOTU_v2_1020
COG0533.mOTU.v2.0003428	meta_mOTU_v2_6341
COG0172.mOTU.v2.0000061	ref_mOTU_v2_0137
COG0012.mOTU.v2.0006256	ref_mOTU_v2_2953
COG0495.mOTU.v2.0000495	ref_mOTU_v2_0711
COG0172.mOTU.v2.0005423	ref_mOTU_v2_2959
COG0533.mOTU.v2.0004529	ref_mOTU_v2_4029
COG0541.mOTU.v2.0007627	meta_mOTU_v2_5895
COG0533.mOTU.v2.0004077	ref_mOTU_v2_3931
COG0215.mOTU.v2.0002679	meta_mOTU_v2_7075
COG0215.mOTU.v2.0006230	ref_mOTU_v2_1130
COG0552.mOTU.v2.0005586	ref_mOTU_v2_2181
COG0552.mOTU.v2.0004904	ref_mOTU_v2_4485
COG0552.mOTU.v2.0002989	meta_mOTU_v2_7212
COG0552.mOTU.v2.0003936	ref_mOTU_v2_4905
COG0016.mOTU.v2.0000956	ref_mOTU_v2_4072
COG0541.mOTU.v2.0006430	ref_mOTU_v2_3561
COG0525.mOTU.v2.0001053	ref_mOTU_v2_5134
COG0215.mOTU.v2.0002913	meta_mOTU_v2_6318
COG0018.mOTU.v2.0003710	ref_mOTU_v2_3901
COG0525.mOTU.v2.0004346	ref_mOTU_v2_2420
COG0525.mOTU.v2.0001741	meta_mOTU_v2_6098
COG0172.mOTU.v2.0005856	ref_mOTU_v2_3536
COG0012.mOTU.v2.0007304	meta_mOTU_v2_5785
COG0018.mOTU.v2.0008610	meta_mOTU_v2_7051
COG0541.mOTU.v2.0003334	ref_mOTU_v2_4131
COG0012.mOTU.v2.0004430	ref_mOTU_v2_3855
COG0215.mOTU.v2.0009263	meta_mOTU_v2_6199
COG0525.mOTU.v2.0000956	ref_mOTU_v2_1383
COG0495.mOTU.v2.0007756	meta_mOTU_v2_7206
COG0172.mOTU.v2.0003236	meta_mOTU_v2_7327
COG0552.mOTU.v2.0004996	ref_mOTU_v2_3818
COG0172.mOTU.v2.0006878	ref_mOTU_v2_3710
COG0541.mOTU.v2.0000258	ref_mOTU_v2_5233
COG0495.mOTU.v2.0001105	ref_mOTU_v2_0866
COG0533.mOTU.v2.0008693	meta_mOTU_v2_6358
COG0552.mOTU.v2.0005172	ref_mOTU_v2_1549
COG0016.mOTU.v2.0001972	meta_mOTU_v2_5849
COG0552.mOTU.v2.0008871	meta_mOTU_v2_7197
COG0541.mOTU.v2.0006625	ref_mOTU_v2_1871
COG0012.mOTU.v2.0001264	ref_mOTU_v2_0522
COG0533.mOTU.v2.0000681	ref_mOTU_v2_0553
COG0525.mOTU.v2.0005789	ref_mOTU_v2_5016
COG0541.mOTU.v2.0000494	ref_mOTU_v2_0964
COG0552.mOTU.v2.0000799	ref_mOTU_v2_0130
COG0018.mOTU.v2.0007313	meta_mOTU_v2_7759
COG0172.mOTU.v2.0005715	ref_mOTU_v2_2174
COG0552.mOTU.v2.0001663	ref_mOTU_v2_0473
COG0018.mOTU.v2.0004496	ref_mOTU_v2_2899
COG0215.mOTU.v2.0005323	ref_mOTU_v2_1726
COG0215.mOTU.v2.0002048	meta_mOTU_v2_7737
COG0016.mOTU.v2.0003766	meta_mOTU_v2_6840
COG0525.mOTU.v2.0001543	ref_mOTU_v2_0497
COG0018.mOTU.v2.0004539	ref_mOTU_v2_2897
COG0495.mOTU.v2.0007041	meta_mOTU_v2_6482
COG0012.mOTU.v2.0004308	ref_mOTU_v2_4415
COG0016.mOTU.v2.0003823	meta_mOTU_v2_5675
COG0525.mOTU.v2.0005162	ref_mOTU_v2_0194
COG0018.mOTU.v2.0000822	ref_mOTU_v2_1611
COG0533.mOTU.v2.0003495	meta_mOTU_v2_5752
COG0215.mOTU.v2.0007317	meta_mOTU_v2_6444
COG0533.mOTU.v2.0004780	ref_mOTU_v2_4206
COG0012.mOTU.v2.0002169	meta_mOTU_v2_7760
COG0533.mOTU.v2.0004062	ref_mOTU_v2_3898
COG0018.mOTU.v2.0006994	ref_mOTU_v2_2808
COG0012.mOTU.v2.0000147	ref_mOTU_v2_0020
COG0525.mOTU.v2.0006330	ref_mOTU_v2_1659
COG0541.mOTU.v2.0005515	ref_mOTU_v2_2221
COG0533.mOTU.v2.0002744	meta_mOTU_v2_6318
COG0172.mOTU.v2.0001303	ref_mOTU_v2_4288
COG0016.mOTU.v2.0006181	ref_mOTU_v2_4016
