#SampleID	Metaphlan2_Analysis
k__Bacteria	82.26107
k__Archaea	11.55691
k__Viruses	6.18203
k__Bacteria|p__Bacteroidetes	74.07659
k__Archaea|p__Euryarchaeota	11.55691
k__Viruses|p__Viruses_noname	6.18203
k__Bacteria|p__Firmicutes	5.00104
k__Bacteria|p__Proteobacteria	3.15656
k__Bacteria|p__Actinobacteria	0.02089
k__Bacteria|p__Verrucomicrobia	0.006
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	74.07659
k__Archaea|p__Euryarchaeota|c__Methanobacteria	11.55691
k__Viruses|p__Viruses_noname|c__Viruses_noname	6.18203
k__Bacteria|p__Firmicutes|c__Clostridia	4.97638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2.42702
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.44767
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.28187
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02466
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.02089
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.006
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	74.07659
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	11.55691
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	6.18203
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	4.97638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	2.41584
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.44767
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.28187
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.02466
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.02089
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.01119
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.006
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	71.74044
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	11.55691
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	6.12322
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.05499
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	2.41584
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.13204
